file,mode,x1,y1,x2,y2,block
heon_IMG_1732.JPG,1,1842,1194,1,2266,not_blocked
john_IMG_1254.jpg,3,1801,1102,2583,3024,not_blocked
sam_IMG_2006.JPG,0,2485,1533,4032,3005,blocked
sam_IMG_2433.JPG,3,2097,1312,2122,3024,not_blocked
john_IMG_2264.jpg,3,2588,914,1,2304,not_blocked
heon_IMG_0564.JPG,0,1973,1486,1998,3024,not_blocked
IMG_1976.JPG,2,1883,1065,1351,3024,not_blocked
sam_IMG_1498.jpg,0,2342,1375,42,3024,blocked
heon_IMG_1650.JPG,4,897,1156,4032,2533,blocked
john_IMG_2768.jpg,3,2103,1437,386,3024,not_blocked
sam_IMG_1351.jpg,0,2193,1426,2663,3024,not_blocked
john_IMG_2624.jpg,0,2173,1298,2408,3024,not_blocked
john_IMG_1285.jpg,3,2032,1278,2089,3024,not_blocked
john_IMG_1609.jpg,0,2171,1175,578,3024,not_blocked
heon_IMG_0552.JPG,0,3746,1523,3564,3024,blocked
heon_IMG_1131.JPG,4,2016,1136,383,2650,not_blocked
john_IMG_2686.jpg,3,1968,1486,227,3024,not_blocked
john_IMG_0708.jpg,0,2213,1509,1631,3024,not_blocked
sam_IMG_2334.JPG,2,2569,1023,3076,3024,not_blocked
heon_IMG_0751.JPG,3,3148,2643,3240,3024,blocked
sam_IMG_1606.jpg,1,3020,1531,1791,3024,not_blocked
sam_IMG_1753.JPG,3,2201,1694,2795,3024,blocked
john_IMG_2430.jpg,3,2159,1019,1688,3024,not_blocked
heon_IMG_1439.JPG,0,2976,1375,1,2726,not_blocked
sam_IMG_1936.JPG,4,1817,1409,1064,2583,not_blocked
john_IMG_2088.jpg,0,2242,1326,3314,3024,not_blocked
john_IMG_0820.jpg,1,2199,1394,1212,3024,not_blocked
IMG_1814.JPG,3,1875,1248,1862,3024,not_blocked
heon_IMG_1152.JPG,2,1401,1132,4032,2927,not_blocked
sam_IMG_0939.jpg,1,2079,1620,1999,3024,not_blocked
sam_IMG_2540.JPG,1,2294,1311,206,3024,blocked
sam_IMG_6422.jpg,0,1926,1511,1,2745,not_blocked
sam_IMG_1541.jpg,0,2086,1703,955,2350,not_blocked
sam_IMG_2450.JPG,2,1142,1302,1,2902,not_blocked
john_IMG_1420.jpg,2,2198,1064,3106,3024,not_blocked
sam_IMG_1653.jpg,1,2156,1569,2770,3024,not_blocked
sam_IMG_1358.jpg,2,2234,1585,2473,3024,not_blocked
sam_IMG_2146.JPG,4,1080,436,4032,2346,not_blocked
john_IMG_1272.jpg,0,1927,1289,3317,3024,not_blocked
sam_IMG_1337.jpg,0,2229,1634,4022,2913,not_blocked
john_IMG_0969.jpg,0,2585,1464,741,3024,blocked
sam_IMG_2379.JPG,4,1319,1180,172,3024,not_blocked
sam_IMG_1770.JPG,0,1937,1638,2360,3024,not_blocked
john_IMG_0554.jpg,0,2082,1203,3637,3024,blocked
heon_IMG_1680.JPG,0,2019,1444,2124,3024,blocked
sam_IMG_2358.JPG,1,2255,1085,2167,3019,not_blocked
john_IMG_2521.jpg,2,1585,1238,4031,2133,not_blocked
IMG_2043.JPG,0,1341,353,4032,2529,not_blocked
IMG_1986.JPG,2,2619,863,1,2905,not_blocked
john_IMG_2142.jpg,3,2108,1141,841,3024,not_blocked
john_IMG_1426.jpg,1,2127,954,2,2441,not_blocked
john_IMG_1793.jpg,3,1993,1418,1539,3024,not_blocked
john_IMG_0645.jpg,0,1970,1727,2118,3024,not_blocked
sam_IMG_1730.jpg,0,2254,1364,1981,3024,not_blocked
heon_IMG_1693.JPG,1,1649,1167,4032,2736,not_blocked
heon_IMG_1591.JPG,2,2268,1369,2871,3024,blocked
john_IMG_2243.jpg,0,1562,887,4032,1775,not_blocked
sam_IMG_1928.JPG,4,2396,1314,1031,3024,not_blocked
IMG_2049.JPG,1,1793,1086,1479,3024,not_blocked
john_IMG_0587.jpg,1,1922,1602,2238,3024,blocked
john_IMG_2709.jpg,0,2035,1122,1638,3021,not_blocked
sam_IMG_1189.jpg,2,2192,1516,1405,3024,not_blocked
john_IMG_0873.jpg,1,2080,1476,1265,3024,not_blocked
heon_IMG_0787.JPG,2,1720,1368,454,3024,not_blocked
sam_IMG_1926.JPG,0,2457,1772,2237,3015,not_blocked
heon_IMG_0549.JPG,0,1829,1866,1389,3024,blocked
sam_IMG_1688.jpg,1,2016,1555,2379,3024,blocked
john_IMG_1496.jpg,0,2034,1251,4025,2263,blocked
sam_IMG_1063.jpg,0,1964,1647,1349,3024,not_blocked
john_IMG_1701.jpg,0,2667,1358,1,2940,not_blocked
john_IMG_0737.jpg,3,2104,968,735,3024,not_blocked
heon_IMG_1102.JPG,2,2288,944,1,2396,not_blocked
sam_IMG_0937.jpg,0,1967,1760,946,3024,not_blocked
sam_IMG_0867.jpg,3,2204,1712,4031,2795,blocked
john_IMG_1633.jpg,2,2398,1246,1675,3024,not_blocked
sam_IMG_1931.JPG,4,1419,1437,3097,3024,not_blocked
heon_IMG_0567.JPG,2,1137,1429,1356,3024,not_blocked
john_IMG_0719.jpg,1,2303,1020,1833,3024,not_blocked
john_IMG_2505.jpg,1,2320,1172,5,2111,not_blocked
sam_IMG_1670.jpg,2,2127,1509,4032,2844,not_blocked
john_39551545040073_.pic_hd.jpg,4,2139,1496,2547,2562,not_blocked
heon_IMG_1010.JPG,1,1436,933,4032,2394,not_blocked
sam_IMG_1782.JPG,2,1757,1634,2008,3024,blocked
sam_IMG_2351.JPG,4,2715,1793,1852,3024,not_blocked
sam_IMG_2566.JPG,1,848,1403,2198,3024,blocked
IMG_1772.JPG,1,1769,1015,2166,3024,not_blocked
heon_IMG_0607.JPG,2,2055,1300,874,3024,not_blocked
IMG_2201.JPG,1,1876,1563,1807,3024,not_blocked
heon_IMG_1332.JPG,2,2689,1336,609,3024,blocked
john_IMG_1564.jpg,3,2100,1350,1,2486,blocked
john_IMG_1920.jpg,0,2828,1077,1,2455,not_blocked
john_IMG_1547.jpg,3,2263,1410,4032,2382,blocked
john_IMG_1889.jpg,3,1435,1446,3035,3024,not_blocked
IMG_2163.JPG,3,2019,1132,3513,3024,not_blocked
sam_IMG_2496.JPG,0,2808,1402,1670,3024,not_blocked
john_IMG_2797.jpg,3,1704,1112,1955,3024,not_blocked
heon_IMG_0870.JPG,0,2062,1149,1,1959,blocked
sam_IMG_2328.JPG,2,2424,1117,1298,3024,not_blocked
john_IMG_1703.jpg,1,1975,1147,1405,3024,blocked
heon_IMG_1714.JPG,1,2092,1058,2934,3021,blocked
sam_IMG_1160.jpg,2,2102,1512,4032,2052,not_blocked
john_IMG_2334.jpg,1,1276,937,4032,2049,not_blocked
john_IMG_2648.jpg,0,2200,1301,1,2785,not_blocked
heon_IMG_0571.JPG,0,1364,1730,1553,3024,blocked
heon_IMG_1453.JPG,2,1863,1410,4016,2595,blocked
john_IMG_1784.jpg,3,2064,1377,1648,3024,not_blocked
heon_IMG_1100.JPG,3,1595,1075,4032,2944,not_blocked
heon_IMG_1570.JPG,0,2166,1261,2120,3024,blocked
heon_IMG_0835.JPG,1,1911,1416,626,3024,not_blocked
sam_IMG_2443.JPG,1,1423,1153,3113,3024,not_blocked
john_IMG_1290.jpg,2,2041,1437,4032,2392,not_blocked
john_IMG_0736.jpg,2,2060,971,1066,3024,not_blocked
sam_IMG_1781.JPG,0,2801,1529,4032,1873,not_blocked
IMG_1954.JPG,2,1069,936,3799,3024,not_blocked
john_IMG_1503.jpg,1,2239,1185,2350,3024,not_blocked
heon_IMG_1740.JPG,2,1867,1282,1284,3024,not_blocked
sam_IMG_2083.JPG,1,2448,1443,3701,3024,not_blocked
sam_IMG_1678.jpg,0,1779,1490,4032,2777,not_blocked
sam_IMG_0747.jpg,1,2214,1633,3048,3022,blocked
heon_IMG_1276.JPG,3,2081,1334,2114,3024,not_blocked
heon_IMG_1387.JPG,1,1150,1373,4032,2786,not_blocked
heon_IMG_0659.JPG,0,2283,1148,258,3024,not_blocked
heon_IMG_1608.JPG,1,1597,1353,968,3024,not_blocked
heon_IMG_1373.JPG,3,1785,1254,4032,2275,blocked
sam_IMG_2335.JPG,3,1094,1117,1377,3023,not_blocked
john_IMG_2458.jpg,2,1497,1514,4032,2729,not_blocked
john_IMG_1972.jpg,0,1831,1054,4032,1966,not_blocked
heon_IMG_0791.JPG,1,1844,1247,927,3024,not_blocked
